Date,icu_covid,icu_pui,icu_other,icu_available,non_icu_covid,non_icu_pui,non_icu_other,non_icu_available,vents_pts,vents_available,covid_new,covid_total,pui_total,covid_total_7davg,pui_total_7davg,covid_pct_7davg,covid_pui_pct_7davg,other_total,available_total,icu_covid_pct_7davg,icu_covid_pui_pct_7davg,non_icu_covid_pct_7davg,non_icu_covid_pui_pct_7davg,cap_pct_7davg_total,icu_cap_pct_7davg,non_icu_cap_pct_7davg
2020/03/27,63,22,,66,62,52,,293,95,,,125,74,125,74,0.2,0.4,0,359,0.4,0.6,0.2,0.3,0.6,0.4,0.7
2020/03/28,66,30,,87,75,64,,403,90,,,141,94,133,84,0.2,0.3,0,490,0.4,0.5,0.1,0.3,0.7,0.5,0.7
2020/03/29,69,13,,91,81,49,,549,115,,,150,62,138.66667,76.66667,0.2,0.3,0,640,0.4,0.5,0.1,0.2,0.7,0.5,0.8
2020/03/30,72,34,,68,82,74,,579,110,,,154,108,142.5,84.5,0.2,0.3,0,647,0.4,0.5,0.1,0.2,0.7,0.5,0.8
2020/03/31,73,19,,73,76,68,,630,107,,,149,87,143.8,85,0.2,0.3,0,703,0.4,0.5,0.1,0.2,0.7,0.5,0.8
2020/04/01,82,13,,70,70,56,,491,128,,,152,69,145.16667,82.33333,0.2,0.3,0,561,0.4,0.6,0.1,0.2,0.7,0.4,0.8
2020/04/02,75,19,,71,90,58,,394,143,,,165,77,148,81.57143,0.2,0.3,0,465,0.4,0.6,0.1,0.2,0.7,0.4,0.8
2020/04/03,76,17,,70,89,54,,368,145,,,165,71,153.71429,81.14286,0.2,0.3,0,438,0.4,0.6,0.1,0.2,0.7,0.4,0.8
2020/04/04,69,15,,76,99,48,,336,113,,,168,63,157.57143,76.71429,0.2,0.3,0,412,0.4,0.6,0.1,0.2,0.7,0.4,0.8
2020/04/05,72,12,,136,95,46,,420,130,,,167,58,160,76.14286,0.2,0.3,0,556,0.4,0.5,0.1,0.2,0.7,0.5,0.8
2020/04/06,72,8,,96,111,56,,479,166,,,183,64,164.14286,69.85714,0.2,0.3,0,575,0.4,0.5,0.2,0.2,0.7,0.5,0.8
2020/04/07,74,11,,120,115,46,,661,132,,,189,57,169.85714,65.57143,0.2,0.3,0,781,0.4,0.5,0.2,0.2,0.7,0.5,0.8
2020/04/08,73,6,,88,77,36,,590,126,,,150,42,169.57143,61.71429,0.2,0.3,0,678,0.4,0.5,0.2,0.2,0.7,0.5,0.8
2020/04/09,77,18,,108,74,52,,651,141,,,151,70,167.57143,60.71429,0.2,0.3,0,759,0.4,0.5,0.2,0.2,0.7,0.5,0.8
2020/04/10,66,5,,136,89,40,,824,108,,,155,45,166.14286,57,0.2,0.2,0,960,0.4,0.4,0.1,0.2,0.8,0.6,0.8
2020/04/11,69,5,,96,71,38,,372,116,,,140,43,162.14286,54.14286,0.2,0.2,0,468,0.4,0.4,0.1,0.2,0.8,0.6,0.8
2020/04/12,69,10,,92,70,38,,410,105,,,139,48,158.14286,52.71429,0.2,0.2,0,502,0.4,0.4,0.1,0.2,0.8,0.6,0.8
2020/04/13,64,19,,119,84,24,,923,132,,,148,43,153.14286,49.71429,0.2,0.2,0,1042,0.4,0.4,0.1,0.2,0.8,0.6,0.8
2020/04/14,65,11,,119,73,29,,913,132,,,138,40,145.85714,47.28571,0.2,0.2,0,1032,0.4,0.4,0.1,0.2,0.8,0.6,0.8
2020/04/15,64,15,,108,77,48,,878,107,,,141,63,144.57143,50.28571,0.1,0.2,0,986,0.4,0.4,0.1,0.1,0.8,0.6,0.9
2020/04/16,58,8,122,352,71,28,875,835,132,,12,137,36,142.57143,45.42857,0.1,0.2,997,1187,0.3,0.3,0.1,0.1,0.7,0.6,0.8
2020/04/17,72,9,149,244,67,28,1020,1007,132,,33,149,37,141.71429,44.28571,0.1,0.1,1169,1251,0.2,0.3,0.1,0.1,0.6,0.6,0.7
2020/04/18,66,12,140,238,69,15,938,971,123,,26,143,27,142.14286,42,0.1,0.1,1078,1209,0.2,0.2,0.0,0.1,0.6,0.6,0.6
2020/04/19,67,4,139,130,76,15,879,775,133,,24,143,19,142.71429,37.85714,0.1,0.1,1018,905,0.2,0.2,0.0,0.1,0.6,0.6,0.6
2020/04/20,69,6,125,136,79,16,906,697,171,,29,156,22,143.85714,34.85714,0.1,0.1,1031,833,0.2,0.2,0.0,0.1,0.5,0.5,0.5
2020/04/21,69,16,150,105,74,17,982,619,170,,38,144,33,144.71429,33.85714,0.1,0.1,1132,724,0.2,0.2,0.0,0.1,0.5,0.5,0.5
2020/04/22,67,10,136,123,69,25,873,692,182,,21,137,35,144.14286,29.85714,0.1,0.1,1009,815,0.2,0.2,0.0,0.0,0.4,0.5,0.4
2020/04/23,66,13,144,115,76,12,866,878,165,,19,143,25,145,28.28571,0.1,0.1,1010,993,0.2,0.2,0.0,0.0,0.4,0.4,0.4
2020/04/24,60,15,151,190,70,17,859,959,151,,22,131,32,142.42857,27.57143,0.1,0.1,1010,1149,0.2,0.2,0.0,0.0,0.4,0.4,0.4
2020/04/25,61,12,137,214,64,19,897,971,180,,41,126,31,140,28.14286,0.1,0.1,1034,1185,0.2,0.2,0.0,0.0,0.4,0.4,0.4
2020/04/26,65,14,147,184,60,32,880,964,162,,28,125,46,137.42857,32,0.1,0.1,1027,1148,0.2,0.2,0.0,0.0,0.4,0.4,0.5
2020/04/27,55,10,145,189,59,36,932,890,153,,33,115,46,131.57143,35.42857,0.1,0.1,1077,1079,0.2,0.2,0.0,0.0,0.5,0.4,0.5
2020/04/28,50,6,149,197,65,22,1051,918,160,,35,116,28,127.57143,34.71429,0.1,0.1,1200,1115,0.2,0.2,0.0,0.0,0.5,0.4,0.5
2020/04/29,45,4,179,170,62,14,928,922,154,,56,109,18,123.57143,32.28571,0.0,0.1,1107,1092,0.1,0.2,0.0,0.0,0.5,0.4,0.5
2020/04/30,43,3,180,179,59,27,929,892,148,,18,104,30,118,33,0.0,0.1,1109,1071,0.1,0.2,0.0,0.0,0.5,0.5,0.5
2020/05/01,36,4,185,182,55,24,1002,921,147,,14,93,28,112.57143,32.42857,0.0,0.1,1187,1103,0.1,0.1,0.0,0.0,0.5,0.5,0.5
2020/05/02,37,1,176,179,55,20,956,936,153,,13,94,21,108,31,0.0,0.1,1132,1115,0.1,0.1,0.0,0.0,0.5,0.4,0.5
2020/05/03,37,2,179,198,57,17,953,1013,160,,8,97,19,104,27.14286,0.0,0.1,1132,1211,0.1,0.1,0.0,0.0,0.5,0.5,0.5
2020/05/04,35,1,185,201,54,23,915,978,155,,8,91,24,100.57143,24,0.0,0.0,1100,1179,0.1,0.1,0.0,0.0,0.5,0.5,0.5
2020/05/05,35,3,163,217,42,11,1029,945,151,,5,80,14,95.42857,22,0.0,0.0,1192,1162,0.1,0.1,0.0,0.0,0.5,0.5,0.5
2020/05/06,33,2,176,202,40,20,1015,876,153,,3,76,22,90.71429,22.57143,0.0,0.0,1191,1078,0.1,0.1,0.0,0.0,0.5,0.5,0.5
2020/05/07,29,1,275,192,39,13,969,901,159,,6,72,14,86.14286,20.28571,0.0,0.0,1244,1093,0.1,0.1,0.0,0.0,0.5,0.5,0.5
2020/05/08,30,11,192,173,39,15,1091,880,163,,10,73,26,83.28571,20,0.0,0.0,1283,1053,0.1,0.1,0.0,0.0,0.5,0.5,0.5
