Date,Total_cases,New_cases
2020/01/27,1,1
2020/01/28,1,0
2020/01/29,2,1
2020/01/30,2,0
2020/01/31,2,0
2020/02/01,2,0
2020/02/02,2,0
2020/02/03,2,0
2020/02/04,2,0
2020/02/05,2,0
2020/02/06,2,0
2020/02/07,2,0
2020/02/08,2,0
2020/02/09,2,0
2020/02/10,2,0
2020/02/11,2,0
2020/02/12,2,0
2020/02/13,2,0
2020/02/14,2,0
2020/02/15,2,0
2020/02/16,2,0
2020/02/17,3,1
2020/02/18,3,0
2020/02/19,3,0
2020/02/20,4,1
2020/02/21,4,0
2020/02/22,4,0
2020/02/23,4,0
2020/02/24,4,0
2020/02/25,4,0
2020/02/26,6,2
2020/02/27,6,0
2020/02/28,8,2
2020/02/29,12,4
2020/03/01,12,0
2020/03/02,17,5
2020/03/03,19,2
2020/03/04,24,5
2020/03/05,31,7
2020/03/06,41,10
2020/03/07,49,8
2020/03/08,53,4
2020/03/09,70,17
2020/03/10,85,15
2020/03/11,111,26
2020/03/12,134,23
2020/03/13,182,48
2020/03/14,225,43
2020/03/15,257,32
2020/03/16,294,37
2020/03/17,347,53
2020/03/18,392,45
2020/03/19,438,46
2020/03/20,502,64
2020/03/21,538,36
2020/03/22,579,41
2020/03/23,658,79
2020/03/24,729,71
2020/03/25,807,78
2020/03/26,882,75
2020/03/27,949,67
2020/03/28,989,40
2020/03/29,1013,24
2020/03/30,1091,78
2020/03/31,1142,51
2020/04/01,1192,50
2020/04/02,1245,53
2020/04/03,1288,43
2020/04/04,1321,33
2020/04/05,1364,43
2020/04/06,1417,53
2020/04/07,1458,41
2020/04/08,1530,72
2020/04/09,1598,68
2020/04/10,1681,83
2020/04/11,1722,41
2020/04/12,1746,24
2020/04/13,1787,41
2020/04/14,1831,44
2020/04/15,1862,31
2020/04/16,1889,27
2020/04/17,1931,42
2020/04/18,1946,15
2020/04/19,1960,14
2020/04/20,1985,25
2020/04/21,2011,26
2020/04/22,2060,49
2020/04/23,2080,20
2020/04/24,2111,31
2020/04/25,2125,14
2020/04/26,2136,11
2020/04/27,2160,24
2020/04/28,2182,22
2020/04/29,2210,28
2020/04/30,2220,10
2020/05/01,2241,21
2020/05/02,2253,12
2020/05/03,2261,8
2020/05/04,2280,19
2020/05/05,2293,13
2020/05/06,2321,28
2020/05/07,2333,12
2020/05/08,2357,24
2020/05/09,2368,11
2020/05/10,2371,3
2020/05/11,2391,20
2020/05/12,2406,15
2020/05/13,2426,20
2020/05/14,2450,24
2020/05/15,2465,15
2020/05/16,2480,15
2020/05/17,2487,7
2020/05/18,2526,39
2020/05/19,2570,44
2020/05/20,2606,36
2020/05/21,2627,21
2020/05/22,2654,27
2020/05/23,2671,17
2020/05/24,2673,2
2020/05/25,2680,7
2020/05/26,2712,32
2020/05/27,2750,38
2020/05/28,2773,23
2020/05/29,2817,44
2020/05/30,2833,16
2020/05/31,2843,10
2020/06/01,2877,34
2020/06/02,2902,25
2020/06/03,2945,43
2020/06/04,2982,37
2020/06/05,3018,36
2020/06/06,3031,13
2020/06/07,3049,18
2020/06/08,3087,38
2020/06/09,3134,47
2020/06/10,3197,63
2020/06/11,3247,50
